sku,product_name,quantity_on_hand,unit_cost,retail_price,snapshot_at,category,brand,size,units_per_case,vendor,upc
BTL-0001,Cedar Ridge Reserve Whiskey,8,18.00,29.00,2026-09-20,Whiskey,Cedar Ridge,750 ml,12,Pacific Coast Distributing,000001000000
BTL-0002,Mesa Sol Reserve Tequila,4,15.78,23.35,2026-09-20,Tequila,Mesa Sol,750 ml,6,Heritage Wine & Spirits,000001000001
BTL-0003,North Current Reserve Vodka,5,22.19,32.84,2026-09-20,Vodka,North Current,750 ml,12,Northstar Beverage,000001000002
BTL-0004,Juniper & Field Reserve Gin,6,29.10,43.07,2026-09-20,Gin,Juniper & Field,750 ml,12,Valley Craft Collective,000001000003
BTL-0005,Harbor Lantern Reserve Rum,7,36.85,54.54,2026-09-20,Rum,Harbor Lantern,750 ml,12,Pacific Coast Distributing,000001000004
BTL-0006,Valley Loom Reserve Wine,3,11.06,16.37,2026-09-20,Wine,Valley Loom,750 ml,6,Heritage Wine & Spirits,000001000005
BTL-0007,Trailhead Reserve Beer,4,18.50,27.38,2026-09-20,Beer,Trailhead,6 × 355 ml,12,Northstar Beverage,000001000006
BTL-0008,Orchard Vale Reserve Liqueur,5,25.08,37.12,2026-09-20,Liqueur,Orchard Vale,750 ml,12,Valley Craft Collective,000001000007
BTL-0009,Cedar Ridge Classic Whiskey,6,32.79,48.53,2026-09-20,Whiskey,Cedar Ridge,750 ml,6,Pacific Coast Distributing,000001000008
BTL-0010,Mesa Sol Classic Tequila,7,39.22,58.05,2026-09-20,Tequila,Mesa Sol,750 ml,6,Heritage Wine & Spirits,000001000009
BTL-0011,North Current Classic Vodka,3,14.23,21.06,2026-09-20,Vodka,North Current,750 ml,12,Northstar Beverage,000001000010
BTL-0012,Juniper & Field Classic Gin,4,21.36,31.61,2026-09-20,Gin,Juniper & Field,750 ml,12,Valley Craft Collective,000001000011
BTL-0013,Harbor Lantern Classic Rum,5,28.57,42.28,2026-09-20,Rum,Harbor Lantern,750 ml,12,Pacific Coast Distributing,000001000012
BTL-0014,Valley Loom Classic Wine,6,35.77,52.94,2026-09-20,Wine,Valley Loom,750 ml,6,Heritage Wine & Spirits,000001000013
BTL-0015,Trailhead Classic Beer,7,10.79,15.97,2026-09-20,Beer,Trailhead,6 × 355 ml,12,Northstar Beverage,000001000014
BTL-0016,Orchard Vale Classic Liqueur,3,17.31,25.62,2026-09-20,Liqueur,Orchard Vale,750 ml,12,Valley Craft Collective,000001000015
BTL-0017,Cedar Ridge Small Batch Whiskey,51,24.38,36.08,2026-09-20,Whiskey,Cedar Ridge,750 ml,6,Pacific Coast Distributing,000001000016
BTL-0018,Mesa Sol Small Batch Tequila,51,31.27,46.28,2026-09-20,Tequila,Mesa Sol,750 ml,6,Heritage Wine & Spirits,000001000017
BTL-0019,North Current Small Batch Vodka,51,38.55,57.05,2026-09-20,Vodka,North Current,750 ml,12,Northstar Beverage,000001000018
BTL-0020,Juniper & Field Small Batch Gin,51,13.37,19.79,2026-09-20,Gin,Juniper & Field,750 ml,12,Valley Craft Collective,000001000019
BTL-0021,Harbor Lantern Small Batch Rum,70,14.00,23.00,2026-09-20,Rum,Harbor Lantern,750 ml,12,Pacific Coast Distributing,000001000020
BTL-0022,Valley Loom Small Batch Wine,51,27.68,40.97,2026-09-20,Wine,Valley Loom,750 ml,6,Heritage Wine & Spirits,000001000021
BTL-0023,Trailhead Small Batch Beer,51,34.01,50.33,2026-09-20,Beer,Trailhead,6 × 355 ml,12,Northstar Beverage,000001000022
