purchase_date,vendor,sku,quantity,unit_cost,invoice_number,product_name
2026-03-14,Pacific Coast Distributing,BTL-0001,120,18.00,INV-190-0,Cedar Ridge Reserve Whiskey
2026-04-13,Pacific Coast Distributing,BTL-0001,120,18.00,INV-160-0,Cedar Ridge Reserve Whiskey
2026-05-13,Pacific Coast Distributing,BTL-0001,120,18.00,INV-130-0,Cedar Ridge Reserve Whiskey
2026-06-12,Pacific Coast Distributing,BTL-0001,120,18.00,INV-100-0,Cedar Ridge Reserve Whiskey
2026-07-12,Pacific Coast Distributing,BTL-0001,120,18.00,INV-70-0,Cedar Ridge Reserve Whiskey
2026-08-11,Pacific Coast Distributing,BTL-0001,120,18.00,INV-40-0,Cedar Ridge Reserve Whiskey
2026-09-10,Pacific Coast Distributing,BTL-0001,120,18.00,INV-10-0,Cedar Ridge Reserve Whiskey
2026-03-14,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-190-0,Mesa Sol Reserve Tequila
2026-04-13,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-160-0,Mesa Sol Reserve Tequila
2026-05-13,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-130-0,Mesa Sol Reserve Tequila
2026-06-12,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-100-0,Mesa Sol Reserve Tequila
2026-07-12,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-70-0,Mesa Sol Reserve Tequila
2026-08-11,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-40-0,Mesa Sol Reserve Tequila
2026-09-10,Heritage Wine & Spirits,BTL-0002,60,15.78,INV-10-0,Mesa Sol Reserve Tequila
2026-03-14,Northstar Beverage,BTL-0003,120,22.19,INV-190-0,North Current Reserve Vodka
2026-04-13,Northstar Beverage,BTL-0003,120,22.19,INV-160-0,North Current Reserve Vodka
2026-05-13,Northstar Beverage,BTL-0003,120,22.19,INV-130-0,North Current Reserve Vodka
2026-06-12,Northstar Beverage,BTL-0003,120,22.19,INV-100-0,North Current Reserve Vodka
2026-07-12,Northstar Beverage,BTL-0003,120,22.19,INV-70-0,North Current Reserve Vodka
2026-08-11,Northstar Beverage,BTL-0003,120,22.19,INV-40-0,North Current Reserve Vodka
2026-09-10,Northstar Beverage,BTL-0003,120,22.19,INV-10-0,North Current Reserve Vodka
2026-03-14,Valley Craft Collective,BTL-0004,120,29.10,INV-190-0,Juniper & Field Reserve Gin
2026-04-13,Valley Craft Collective,BTL-0004,120,29.10,INV-160-0,Juniper & Field Reserve Gin
2026-05-13,Valley Craft Collective,BTL-0004,120,29.10,INV-130-0,Juniper & Field Reserve Gin
2026-06-12,Valley Craft Collective,BTL-0004,120,29.10,INV-100-0,Juniper & Field Reserve Gin
2026-07-12,Valley Craft Collective,BTL-0004,120,29.10,INV-70-0,Juniper & Field Reserve Gin
2026-08-11,Valley Craft Collective,BTL-0004,120,29.10,INV-40-0,Juniper & Field Reserve Gin
2026-09-10,Valley Craft Collective,BTL-0004,120,29.10,INV-10-0,Juniper & Field Reserve Gin
2026-03-14,Pacific Coast Distributing,BTL-0005,120,36.85,INV-190-1,Harbor Lantern Reserve Rum
2026-04-13,Pacific Coast Distributing,BTL-0005,120,36.85,INV-160-1,Harbor Lantern Reserve Rum
2026-05-13,Pacific Coast Distributing,BTL-0005,120,36.85,INV-130-1,Harbor Lantern Reserve Rum
2026-06-12,Pacific Coast Distributing,BTL-0005,120,36.85,INV-100-1,Harbor Lantern Reserve Rum
2026-07-12,Pacific Coast Distributing,BTL-0005,120,36.85,INV-70-1,Harbor Lantern Reserve Rum
2026-08-11,Pacific Coast Distributing,BTL-0005,120,36.85,INV-40-1,Harbor Lantern Reserve Rum
2026-09-10,Pacific Coast Distributing,BTL-0005,120,36.85,INV-10-1,Harbor Lantern Reserve Rum
2026-03-14,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-190-1,Valley Loom Reserve Wine
2026-04-13,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-160-1,Valley Loom Reserve Wine
2026-05-13,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-130-1,Valley Loom Reserve Wine
2026-06-12,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-100-1,Valley Loom Reserve Wine
2026-07-12,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-70-1,Valley Loom Reserve Wine
2026-08-11,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-40-1,Valley Loom Reserve Wine
2026-09-10,Heritage Wine & Spirits,BTL-0006,60,11.06,INV-10-1,Valley Loom Reserve Wine
2026-03-14,Northstar Beverage,BTL-0007,120,18.50,INV-190-1,Trailhead Reserve Beer
2026-04-13,Northstar Beverage,BTL-0007,120,18.50,INV-160-1,Trailhead Reserve Beer
2026-05-13,Northstar Beverage,BTL-0007,120,18.50,INV-130-1,Trailhead Reserve Beer
2026-06-12,Northstar Beverage,BTL-0007,120,18.50,INV-100-1,Trailhead Reserve Beer
2026-07-12,Northstar Beverage,BTL-0007,120,18.50,INV-70-1,Trailhead Reserve Beer
2026-08-11,Northstar Beverage,BTL-0007,120,18.50,INV-40-1,Trailhead Reserve Beer
2026-09-10,Northstar Beverage,BTL-0007,120,18.50,INV-10-1,Trailhead Reserve Beer
2026-03-14,Valley Craft Collective,BTL-0008,120,25.08,INV-190-1,Orchard Vale Reserve Liqueur
2026-04-13,Valley Craft Collective,BTL-0008,120,25.08,INV-160-1,Orchard Vale Reserve Liqueur
2026-05-13,Valley Craft Collective,BTL-0008,120,25.08,INV-130-1,Orchard Vale Reserve Liqueur
2026-06-12,Valley Craft Collective,BTL-0008,120,25.08,INV-100-1,Orchard Vale Reserve Liqueur
2026-07-12,Valley Craft Collective,BTL-0008,120,25.08,INV-70-1,Orchard Vale Reserve Liqueur
2026-08-11,Valley Craft Collective,BTL-0008,120,25.08,INV-40-1,Orchard Vale Reserve Liqueur
2026-09-10,Valley Craft Collective,BTL-0008,120,25.08,INV-10-1,Orchard Vale Reserve Liqueur
2026-03-14,Pacific Coast Distributing,BTL-0009,60,32.79,INV-190-2,Cedar Ridge Classic Whiskey
2026-04-13,Pacific Coast Distributing,BTL-0009,60,32.79,INV-160-2,Cedar Ridge Classic Whiskey
2026-05-13,Pacific Coast Distributing,BTL-0009,60,32.79,INV-130-2,Cedar Ridge Classic Whiskey
2026-06-12,Pacific Coast Distributing,BTL-0009,60,32.79,INV-100-2,Cedar Ridge Classic Whiskey
2026-07-12,Pacific Coast Distributing,BTL-0009,60,32.79,INV-70-2,Cedar Ridge Classic Whiskey
2026-08-11,Pacific Coast Distributing,BTL-0009,60,32.79,INV-40-2,Cedar Ridge Classic Whiskey
2026-09-10,Pacific Coast Distributing,BTL-0009,60,32.79,INV-10-2,Cedar Ridge Classic Whiskey
2026-03-14,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-190-2,Mesa Sol Classic Tequila
2026-04-13,Heritage Wine & Spirits,BTL-0010,60,39.22,INV-160-2,Mesa Sol Classic Tequila
